elapsed_s,angle_deg,buzzer_state
0.763,0.0,0
0.822,0.0,0
0.939,0.0,0
0.997,0.0,0
1.063,2.7,0
1.129,0.0,0
1.262,0.0,0
1.321,0.0,0
1.388,3.8,0
1.449,0.0,0
1.505,3.6,0
1.622,-2.9,0
1.686,4.3,0
1.755,3.7,0
1.817,0.0,0
1.937,4.1,0
1.997,0.0,0
2.053,-3.3,0
2.112,-3.9,0
2.231,0.0,0
2.287,3.7,0
2.352,0.0,0
2.465,0.0,0
2.530,0.0,0
2.596,0.0,0
2.660,0.0,0
2.727,0.0,0
2.842,0.0,0
2.904,0.0,0
2.966,0.0,0
3.082,0.0,0
3.143,0.0,0
3.205,0.0,0
3.268,0.0,0
3.331,0.0,0
3.447,0.0,0
3.509,2.6,0
3.570,0.0,0
3.629,0.0,0
3.748,0.0,0
3.812,0.0,0
3.872,0.0,0
3.989,0.0,0
4.051,0.0,0
4.110,0.0,0
4.173,0.0,0
4.292,0.0,0
4.354,3.5,0
4.415,0.0,0
4.472,0.0,0
4.587,0.0,0
4.646,0.0,0
4.713,0.0,0
4.769,0.0,0
4.885,0.0,0
4.947,0.0,0
5.003,0.0,0
5.127,0.0,0
5.190,0.0,0
5.242,0.0,0
5.359,0.0,0
5.421,0.0,0
5.476,0.0,0
5.538,0.0,0
5.647,2.6,0
5.712,0.0,0
5.775,0.0,0
5.836,0.0,0
5.951,0.0,0
6.016,2.7,0
6.069,0.0,0
6.186,0.0,0
6.247,0.0,0
6.302,0.0,0
6.364,0.0,0
6.480,0.0,0
6.541,2.7,0
6.598,0.0,0
6.716,0.0,0
6.778,0.0,0
6.832,0.0,0
6.955,-3.6,0
7.010,0.0,0
7.072,0.0,0
7.137,0.0,0
7.246,0.0,0
7.308,0.0,0
7.369,0.0,0
7.431,2.7,0
7.557,2.6,0
7.613,2.5,0
7.675,2.7,0
7.791,0.0,0
7.846,4.7,0
7.908,6.6,0
7.969,8.7,0
8.087,10.9,0
8.149,13.0,0
8.204,14.3,0
8.322,19.0,0
8.383,20.7,0
8.439,23.8,0
8.547,27.5,0
8.602,28.1,0
8.664,34.5,1
8.779,35.7,1
8.843,35.1,1
8.905,35.9,1
9.025,38.5,1
9.092,39.2,1
9.147,36.3,1
9.204,37.5,1
9.321,39.0,1
9.382,38.8,1
9.443,36.3,1
9.554,37.3,1
9.612,37.3,1
9.670,40.1,1
9.796,37.4,1
9.858,35.7,1
9.912,36.2,1
9.974,37.5,1
10.088,38.2,1
10.146,34.7,1
10.257,34.6,1
10.323,31.9,1
10.382,30.5,1
10.447,26.6,0
10.514,25.1,0
10.630,21.7,0
10.692,21.3,0
10.748,16.6,0
10.871,14.2,0
10.924,11.2,0
10.985,9.5,0
11.100,9.2,0
11.161,6.0,0
11.223,0.0,0
11.283,0.0,0
11.401,-2.7,0
11.456,-8.8,0
11.509,-8.0,0
11.635,-9.9,0
11.690,-8.9,0
11.751,-9.7,0
11.875,-10.8,0
11.938,-10.8,0
12.006,-13.0,0
12.064,-12.1,0
12.176,-11.6,0
12.237,-12.7,0
12.298,-11.9,0
12.364,-13.0,0
12.477,-12.9,0
